"date_id";"date";"timestamp";"weekend";"day_of_week";"month";"month_day";"year";"week_starting_monday"
174;"2010-06-24";1277317800;"Weekday";"Thursday";"June";24;2010;"25"
175;"2010-06-25";1277404200;"Weekday";"Friday";"June";25;2010;"25"
176;"2010-06-26";1277490600;"Weekend";"Saturday";"June";26;2010;"25"
177;"2010-06-27";1277577000;"Weekend";"Sunday";"June";27;2010;"25"
178;"2010-06-28";1277663400;"Weekday";"Monday";"June";28;2010;"26"
179;"2010-06-29";1277749800;"Weekday";"Tuesday";"June";29;2010;"26"
180;"2010-06-30";1277836200;"Weekday";"Wednesday";"June";30;2010;"26"
181;"2010-07-01";1277922600;"Weekday";"Thursday";"July";1;2010;"26"
182;"2010-07-02";1278009000;"Weekday";"Friday";"July";2;2010;"26"
183;"2010-07-03";1278095400;"Weekend";"Saturday";"July";3;2010;"26"
184;"2010-07-04";1278181800;"Weekend";"Sunday";"July";4;2010;"26"
185;"2010-07-05";1278268200;"Weekday";"Monday";"July";5;2010;"27"
186;"2010-07-06";1278354600;"Weekday";"Tuesday";"July";6;2010;"27"
187;"2010-07-07";1278441000;"Weekday";"Wednesday";"July";7;2010;"27"
188;"2010-07-08";1278527400;"Weekday";"Thursday";"July";8;2010;"27"
189;"2010-07-09";1278613800;"Weekday";"Friday";"July";9;2010;"27"
190;"2010-07-10";1278700200;"Weekend";"Saturday";"July";10;2010;"27"
191;"2010-07-11";1278786600;"Weekend";"Sunday";"July";11;2010;"27"
192;"2010-07-12";1278873000;"Weekday";"Monday";"July";12;2010;"28"
193;"2010-07-13";1278959400;"Weekday";"Tuesday";"July";13;2010;"28"
194;"2010-07-14";1279045800;"Weekday";"Wednesday";"July";14;2010;"28"
195;"2010-07-15";1279132200;"Weekday";"Thursday";"July";15;2010;"28"
196;"2010-07-16";1279218600;"Weekday";"Friday";"July";16;2010;"28"
197;"2010-07-17";1279305000;"Weekend";"Saturday";"July";17;2010;"28"
198;"2010-07-18";1279391400;"Weekend";"Sunday";"July";18;2010;"28"
199;"2010-07-19";1279477800;"Weekday";"Monday";"July";19;2010;"29"
200;"2010-07-20";1279564200;"Weekday";"Tuesday";"July";20;2010;"29"
201;"2010-07-21";1279650600;"Weekday";"Wednesday";"July";21;2010;"29"
202;"2010-07-22";1279737000;"Weekday";"Thursday";"July";22;2010;"29"
203;"2010-07-23";1279823400;"Weekday";"Friday";"July";23;2010;"29"
204;"2010-07-24";1279909800;"Weekend";"Saturday";"July";24;2010;"29"
205;"2010-07-25";1279996200;"Weekend";"Sunday";"July";25;2010;"29"
206;"2010-07-26";1280082600;"Weekday";"Monday";"July";26;2010;"30"
207;"2010-07-27";1280169000;"Weekday";"Tuesday";"July";27;2010;"30"
208;"2010-07-28";1280255400;"Weekday";"Wednesday";"July";28;2010;"30"
209;"2010-07-29";1280341800;"Weekday";"Thursday";"July";29;2010;"30"
210;"2010-07-30";1280428200;"Weekday";"Friday";"July";30;2010;"30"
211;"2010-07-31";1280514600;"Weekend";"Saturday";"July";31;2010;"30"
212;"2010-08-01";1280601000;"Weekend";"Sunday";"August";1;2010;"30"
213;"2010-08-02";1280687400;"Weekday";"Monday";"August";2;2010;"31"
214;"2010-08-03";1280773800;"Weekday";"Tuesday";"August";3;2010;"31"
215;"2010-08-04";1280860200;"Weekday";"Wednesday";"August";4;2010;"31"
216;"2010-08-05";1280946600;"Weekday";"Thursday";"August";5;2010;"31"
217;"2010-08-06";1281033000;"Weekday";"Friday";"August";6;2010;"31"
218;"2010-08-07";1281119400;"Weekend";"Saturday";"August";7;2010;"31"
219;"2010-08-08";1281205800;"Weekend";"Sunday";"August";8;2010;"31"
220;"2010-08-09";1281292200;"Weekday";"Monday";"August";9;2010;"32"
221;"2010-08-10";1281378600;"Weekday";"Tuesday";"August";10;2010;"32"
222;"2010-08-11";1281465000;"Weekday";"Wednesday";"August";11;2010;"32"
223;"2010-08-12";1281551400;"Weekday";"Thursday";"August";12;2010;"32"
224;"2010-08-13";1281637800;"Weekday";"Friday";"August";13;2010;"32"
225;"2010-08-14";1281724200;"Weekend";"Saturday";"August";14;2010;"32"
226;"2010-08-15";1281810600;"Weekend";"Sunday";"August";15;2010;"32"
227;"2010-08-16";1281897000;"Weekday";"Monday";"August";16;2010;"33"
228;"2010-08-17";1281983400;"Weekday";"Tuesday";"August";17;2010;"33"
229;"2010-08-18";1282069800;"Weekday";"Wednesday";"August";18;2010;"33"
230;"2010-08-19";1282156200;"Weekday";"Thursday";"August";19;2010;"33"
231;"2010-08-20";1282242600;"Weekday";"Friday";"August";20;2010;"33"
232;"2010-08-21";1282329000;"Weekend";"Saturday";"August";21;2010;"33"
233;"2010-08-22";1282415400;"Weekend";"Sunday";"August";22;2010;"33"
234;"2010-08-23";1282501800;"Weekday";"Monday";"August";23;2010;"34"
235;"2010-08-24";1282588200;"Weekday";"Tuesday";"August";24;2010;"34"
236;"2010-08-25";1282674600;"Weekday";"Wednesday";"August";25;2010;"34"
237;"2010-08-26";1282761000;"Weekday";"Thursday";"August";26;2010;"34"
238;"2010-08-27";1282847400;"Weekday";"Friday";"August";27;2010;"34"
239;"2010-08-28";1282933800;"Weekend";"Saturday";"August";28;2010;"34"
240;"2010-08-29";1283020200;"Weekend";"Sunday";"August";29;2010;"34"
241;"2010-08-30";1283106600;"Weekday";"Monday";"August";30;2010;"35"
242;"2010-08-31";1283193000;"Weekday";"Tuesday";"August";31;2010;"35"
243;"2010-09-01";1283279400;"Weekday";"Wednesday";"September";1;2010;"35"
244;"2010-09-02";1283365800;"Weekday";"Thursday";"September";2;2010;"35"
245;"2010-09-03";1283452200;"Weekday";"Friday";"September";3;2010;"35"
246;"2010-09-04";1283538600;"Weekend";"Saturday";"September";4;2010;"35"
247;"2010-09-05";1283625000;"Weekend";"Sunday";"September";5;2010;"35"
248;"2010-09-06";1283711400;"Weekday";"Monday";"September";6;2010;"36"
249;"2010-09-07";1283797800;"Weekday";"Tuesday";"September";7;2010;"36"
250;"2010-09-08";1283884200;"Weekday";"Wednesday";"September";8;2010;"36"
251;"2010-09-09";1283970600;"Weekday";"Thursday";"September";9;2010;"36"
252;"2010-09-10";1284057000;"Weekday";"Friday";"September";10;2010;"36"
253;"2010-09-11";1284143400;"Weekend";"Saturday";"September";11;2010;"36"
254;"2010-09-12";1284229800;"Weekend";"Sunday";"September";12;2010;"36"
255;"2010-09-13";1284316200;"Weekday";"Monday";"September";13;2010;"37"
256;"2010-09-14";1284402600;"Weekday";"Tuesday";"September";14;2010;"37"
257;"2010-09-15";1284489000;"Weekday";"Wednesday";"September";15;2010;"37"
258;"2010-09-16";1284575400;"Weekday";"Thursday";"September";16;2010;"37"
259;"2010-09-17";1284661800;"Weekday";"Friday";"September";17;2010;"37"
260;"2010-09-18";1284748200;"Weekend";"Saturday";"September";18;2010;"37"
261;"2010-09-19";1284834600;"Weekend";"Sunday";"September";19;2010;"37"
262;"2010-09-20";1284921000;"Weekday";"Monday";"September";20;2010;"38"
263;"2010-09-21";1285007400;"Weekday";"Tuesday";"September";21;2010;"38"
264;"2010-09-22";1285093800;"Weekday";"Wednesday";"September";22;2010;"38"
265;"2010-09-23";1285180200;"Weekday";"Thursday";"September";23;2010;"38"
266;"2010-09-24";1285266600;"Weekday";"Friday";"September";24;2010;"38"
267;"2010-09-25";1285353000;"Weekend";"Saturday";"September";25;2010;"38"
268;"2010-09-26";1285439400;"Weekend";"Sunday";"September";26;2010;"38"
269;"2010-09-27";1285525800;"Weekday";"Monday";"September";27;2010;"39"
270;"2010-09-28";1285612200;"Weekday";"Tuesday";"September";28;2010;"39"
271;"2010-09-29";1285698600;"Weekday";"Wednesday";"September";29;2010;"39"
